sweepsTime, magnetization
692, -0.005000
693, -0.090000
694, -0.010000
695, -0.055000
696, -0.025000
697, -0.020000
698, -0.050000
699, -0.090000
700, -0.125000
701, 0.010000
702, 0.055000
703, 0.070000
704, 0.105000
705, 0.125000
706, 0.090000
707, 0.145000
708, 0.150000
709, 0.090000
710, 0.030000
711, 0.010000
712, -0.005000
713, -0.015000
714, 0.050000
715, 0.120000
716, 0.200000
717, 0.240000
718, 0.165000
719, 0.100000
720, 0.135000
721, 0.035000
722, -0.005000
723, -0.085000
724, -0.075000
725, -0.095000
726, -0.185000
727, -0.250000
728, -0.235000
729, -0.320000
730, -0.290000
731, -0.330000
732, -0.345000
733, -0.335000
734, -0.370000
735, -0.415000
736, -0.395000
737, -0.355000
738, -0.365000
739, -0.330000
740, -0.310000
741, -0.300000
742, -0.285000
743, -0.260000
744, -0.245000
745, -0.250000
746, -0.290000
747, -0.245000
748, -0.165000
749, -0.170000
750, -0.155000
751, -0.100000
752, -0.105000
753, -0.100000
754, -0.060000
755, -0.090000
756, -0.180000
757, -0.130000
758, -0.195000
759, -0.240000
760, -0.165000
761, -0.230000
762, -0.210000
763, -0.245000
764, -0.220000
765, -0.175000
766, -0.235000
767, -0.225000
768, -0.295000
769, -0.295000
770, -0.390000
771, -0.355000
772, -0.340000
773, -0.330000
774, -0.305000
775, -0.350000
776, -0.400000
777, -0.345000
778, -0.365000
779, -0.405000
780, -0.425000
781, -0.415000
782, -0.305000
783, -0.250000
784, -0.350000
785, -0.295000
786, -0.305000
787, -0.365000
788, -0.440000
789, -0.500000
790, -0.420000
791, -0.450000
792, -0.355000
793, -0.350000
794, -0.305000
795, -0.265000
796, -0.230000
797, -0.235000
798, -0.265000
799, -0.265000
800, -0.210000
801, -0.235000
802, -0.210000
803, -0.185000
804, -0.250000
805, -0.225000
806, -0.155000
807, -0.290000
808, -0.335000
809, -0.310000
810, -0.240000
811, -0.190000
812, -0.175000
813, -0.185000
814, -0.140000
815, -0.050000
816, -0.125000
817, -0.115000
818, -0.215000
819, -0.165000
820, -0.095000
821, 0.040000
822, 0.125000
823, 0.065000
824, 0.060000
825, 0.150000
826, 0.145000
827, 0.145000
828, 0.105000
829, 0.230000
830, 0.260000
831, 0.275000
832, 0.250000
833, 0.235000
834, 0.280000
835, 0.310000
836, 0.265000
837, 0.275000
838, 0.345000
839, 0.285000
840, 0.205000
841, 0.215000
842, 0.290000
